"category","gender","age","range"
"LOW","F","20-39","0-21"
"LOW","F","40-59","0-23"
"LOW","F","60-79","0-24"
"LOW","M","20-39","0-8"
"LOW","M","40-59","0-11"
"LOW","M","60-79","0-13"
"NORMAL","F","20-39","21.0-32.9"
"NORMAL","F","40-59","23.0-33.9"
"NORMAL","F","60-79","24.0-35.9"
"NORMAL","M","20-39","8.0-19.9"
"NORMAL","M","40-59","11.0-21.9"
"NORMAL","M","60-79","13.0-24.9"
"HIGH","F","20-39","33-38.9"
"HIGH","F","40-59","34-39.9"
"HIGH","F","60-79","36-41.9"
"HIGH","M","18-39","20-24.9"
"HIGH","M","40-59","22-27.9"
"HIGH","M","60-79","25-29.9"
"VERYHIGH","F","20-39","33-39"
"VERYHIGH","F","40-59","34-40"
"VERYHIGH","F","60-79","36-42"
"VERYHIGH","M","18-39","20-25"
"VERYHIGH","M","40-59","22-28"
"VERYHIGH","M","60-79","25-30"